1	GROUPE CHIMI- UE TUNISIEN	C. imie	2143300 2737619
2	GROUPE ELLOUMI	IEE IAA ImmoKilier	800000 1400000
3	GROUPE SFBT	IAA	1159409 1263468
4	GROUPE DELICE	IAA	972999 1229536
5	POULINA GROUP HOLDING(HTVA)	IAA	1029044 1183575
6	GROUPE TUNISAIR	Trans/ort aérien	1004000 1052000
7	GROUPE MABROUg	Finance Ind IAA	1118705    930726
8	GROUPE BAbAHI	Industrie IAA Serxices	700000 750000
9	GROUPE LOUgIL	Ind InJormatipue Serxices	630000 680000
10	GROUPE TTS	Tourisme Trans/qaérien	539241 588301
11	GROUPE MOHSEN HACHICHA	Ind IAA Serxices	415000 431000
12	GROUPE HAMROUNI	Industrie	333978          376060
13	GROUPE MEUBLATEh ET EL MOURADI	H' tellerie ind MeuKle	429604 347511
14	GROUPE ONE TECH	IndvElectronipue	305000 340000
15	UFI GROUP	Finance Ind Tourisme	214175 262574
16	GROUPE NOURI CHAABANE	BTP H' tellerie	197541          228954
17	GROUPE SLAMA	IAA	220230 227168
18	GROUPE AREM	Ind Tourisme Serxices	191946 201160
19	GROUPE TRIgI	Industrie IAA	151100 178000
20	GROUPE ZAL TUNISIE	Cuir et C. aussure	131094 171309
21	Grou/e HAMMAMI	MCCV	124799 148533
22	GROUPE ALLIANCE	Ind Tourisme Finance	130000 130000
23	GROUPE ASSAD	Industrie	66700          121414
24	GROUPE ALTEA PACgAGING (HT)	EmKallaQe	138363 119695
25	GROUPE SAID BOUZEBEL	Tourisme H' tellerie	116000
26	GROUPE gILANI	P. armacie MCCV Cosmétipue	98409 114209
27	GROUPE FOURATI	IAA Ind  Serxices	95000          110000
28	GROUPE STPA	C. imie Electricité	74000 94000
29	GROUPE EL ATHIR	IndvElectronipue	62362 91100
30	GROUPE *OUARI	Industrie Commerce	51849           89126
31	GROUPE CHAgIB NOUIRA	Te tile	88500            89000
32	GROUPE CONDITIONNEMENT HUILES OLIVES	IAA	110631           78801
33	GROUPE IGL	TIC	51964            72697
34	GROUPE BONNA TUNISIE	BTP	70615            70681
35	Grou/e ADEL BOUSSARSAR	Tourisme Serxices	65213            6  2108
36	GROUPE ZUDb	C. imie	53900            5  9970
37	GROUPE SOTUGATvSERGA*	EnerQie	37854           36001
38	GROUPE GHALI	Industrie	31700            34600
"1STE TNNE IND RAFFINAGE  STIRPétrole Dérixés27760003001000"
"2STE TNNE ELECTRICITE GA* STEGEnerQie23550002623900"
"3GROUPE CHIMI- UE TUNISIEN (1)C. imie15300001954000"
"4ENTREPRISE TNNE ACTq PETROLIERES ETAPPétrole Dérixés10007701600457"
"5TUNISIE TELECOMTélécommunications13750371400000"
"6STE NAT DISTRIBUTION PETROLE AGILPétrole Dérixés12698071388003"
"7ORASCOM TELECOM TUNISIETélécommunications9660001000000"
"8PHARMACIE CENTRALE TUNISIEIndvP. armaceutipue736851818295"
"9CIE PHOSPHATES GAFSA (1)Mines613304783619"
"10TOTAL TUNISIEPétrole Dérixés658089758209"
"11SHELL TUNISIEPétrole Dérixés585722613682"
"12MAGASIN GENERALCommerce DistriKution401129528067"
"13SOCOGES (3)IAA451640525133"
"14REGIE NAT TABACS ALLUMETTESIAA573000495000"
"15CARREFOURCommerce490000"
"16NOUVELAIRTrans/ort402655446619"
"17STE FRIGORIFI- UE BRASSERIE TUNIS (2)IAA389728433569"
"18OFFICE COMMERCE TUNISIECommerce306053426383"
"19MONOPRIh (6)Commerce DistriKution378371419126"
"20STE ENNAgLCommerce Serxices316430408794"
"21CARTHAGE POY ER COMPANb (du 01 05 au 30 04 )EnerQie322000332000"
"22MEDCOM (7)Télécommunications238000300000"
"23CIE TNNE NAVIGATION CTNTrans/ort maritine266203283583"
"24CLC DELICE (3)IAA236064278993"
"25SONEDEE /l ô  Dist Eau249997276781"
"26SOCIETE TNNE SIDERURGIEvEL FOULEDHSidérurQie271825263993"
"27LEONI TUNISIE SAIndvElectripue206000260000"
"28BENETTON TUNISIA SARLTe tile256086256086(X)"
"29ZOHNSON CONTROLS TUNISIAInd électronipue139859249297"
"30LE MOTEURIndvmecanipue245000245000(X)"
"31OFFICE AVIATION CIVILE AEROPORTS OACATrans/ort aérien245071240000"
"32GROUPE ALPHA INTERNATIONALAutomoKile Camion AutoKus 240000240000(X)"
"33STE EMBALLq ALUMINIUM BOISSONS GA*EUSES (2)IAA199348233484"
"34OFFICE NATIONAL DE LWHUILEIAA263874233153"
"35MANUFACTURE DES TABACS DE gAIROUANIAA172471218605"
"36LA POSTE TUNISIENNESerxices193485216951"
"37STARAssurances209613212768"
"38STIAL DELICE DANONE (3)IAA183971204508"
"39LES CIMENTS DWENFIDHAMCCV188511198559"
41	COMPAGNIE INTq LEASING	SerxvLeasinQ	161000	188000
42	CHAABANE ET CIE (12)	BTP	159179	178802
43	LES CIMENTS ZBEL EL OUST	MCCV	157390	172550
44	STE NAT CHEMIN FER TUNISIEN SNCFT	Trans/ort Jerroxiaire	161735	171800
45	STAROIL	Pétrole Dérixés	149154	167256
46	STE CHIMI- UE ALgIMIA	C. imie	132685	162846
47	TUNISIE CABLES (10)	IEE	149300	157700
48	STAFIM PEUGEOT	Commerce Serxices	139244	153887
49	SOCIETE NUTRITION ANIMALE (4)	IAA	129792	153405
50	MEDDIS(GEANT) (6)	DistriKution	139500	151000
51	CHIMIE COULEURS EMBALLAGE	IMM		140000
52	HANNIBAL LEASE	SerxicesvLeasinQ	94404	138112
53	AURES(CITROEN) (7)	Commerce Auto	114000	138000
54	SOMATRAvGET	BTP	101189	134798
55	ALMES (MEDOIL) (4)	IAA	119552	133873
56	TELEPERFORMANCE	Télécommunications		133618
57	COMAR	Assurances	119637	129644
58	STE TNNE CHOCOLAT CONFISERIE  SOTUCHOC(6)	IAA	131000	128000
59	CENTRALE LAITIERE  MAHDIA VITALAIT	IAA	110542	126009
60	TUNISAIR TECHNICS (5)	Trans/ort	121034	125000
61	OFFICE NATq ASSAINISSEMENT ONAS	Serxices	111600	123400
62	SOCIETE TNNE BISCUITERIE SOTUBI (6)	IAA	114000	122000
63	LES CIMENTS DWOUM EL gELIL	MCCV	97509	121781
64	STE CIMENTS GABES	MCCV	110274	114906
65	DICg (4)	IAA	94004	113065
66	STE TNNE IND PNEUMATI- UEvSTIP	Ind Pneumatipue	104167	113024
67	EL MA*RAA (4)	IAA	93833	112330
68	SNBG ET SONOBRA	IAA		110000
69	CIMENTS ARTIFICIELS TUNISIENS	MCCV	92765	109606
70	OFFICE MARINE MARCHANDE PORTS OMMP	Trans/ort maritine	95728	106964
71	CARTHAGO CERAMIC (4)	MCCV	84820	104884
72	STE TNNE IND PI- UAGE	CuirvC. aussure	93332	101161
73	INDUSTRIES ALIMENTAIRES TUNISIE (6)	IAA	94000	101000
74	STE CONST METAL NAVALES INDUSTRIELLES	IME	105000	100000
75	UNPA (LWEPI DWOR)	IAA	96436	100000
76	SOCIETE TNNE FILTRES	Industrie	88000	99000
77	MANUFACTORING INTq COMPAGNIE	Te tile	64000	98887
78	COGEPHA	IndvP. armaceutipue	101134	98306
79	TUNISIE PROFILES ALUMINUMvTPR	Industrie	78040	98029
80	STE TNNE ACCONAGE MANUTENTION	Serxices	96674	97844
81	GAT	Assurances	78071	95354
82	SANCELLA TUNISIE	Industrie	89000	95000
83	CENTRALE LAITIERE NORD (3)	IAA	75323	92700
84	ASSURANCE MUTUELLE ITTIHAD	Assurances	91769	92591
85	GENERALE BOISSONS INDUST ALIMENTAIRES (2)	IAA	85136	92286
86	ASTREE	Assurances	83714	90804
87	SLAMA FRERES (13)	Industrie	95691	89472
88	CARTE	Assurances	78610	88939
89	LES GRANDS ATELIERS DU NORD (4)	Industrie	79334	87610
90	MAGHREBIA (11)	Assurances	80982	87084
91	TUNISAIR HANDLING (5)	Trans/ort	86042	86474
92	AGENCE FONCIERE HABITATION	ImmoKilier	72000	85000
93	STE ASSEMBLAGE ELECTRq ELECTRONI- UE (SAEE)	IEE	44073	85000
94	STE STATIONS THERMq EAUh MINERALES SOSTEM (2)	IAA	76689	83890
95	SOMOCER	Industrie	72026	83736
96	MEUNIERE TUNISIENNE (8)	IAA	83000	83000
97	ATTIZARI LEASING	SerxvLeasinQ	49082	80501
98	PARENIN	Serxices	79335	79335
99	PROMOSPORT	Serxices	43125	79309 (X)
100	ASTEEL ELECTRONI- UE TUNISIE	Carte électronipue	60000	77000
101	STE SERVICES NATIONAUh RESIDENCES	Serxices	5689	76358
102	TUNIS RE	Réassurance	60777	73721
103	STE TUNvANDALOUSE CIMENT BLANC SOTACIB	MCCV	48980	72078
104	TRANSTU	Trans/ort	74189	70846
105	LES VIGNERONS DE CARTHAGE	IAA	67179	70527
106	TUNISIE LAIT	IAA	73420	70429
107	STE CONDITIONNEMENT HUILES v SOCOHUILE	Industrie	61836	70000
108	EL Y IFACg LEASING	ServLeasinQ	57549	69219
109	STE COMMERCIALE PRODUITS CHIMI- UES (14)	C. imie	53103	67679
110	MUTUELLE ASSURANCE ENSEIGNEMENT	Assurances	60104	67103
111	MEUBLATEh (9)	Industrie MeuKles	68670	66679
112	GIAS (13)	IAA	59372	65932
113	LES CIMENTS DE BI*ERTE	MCCV	63750	65693
114	ELECTROSTAR (8)	Serxices	81000	64000
115	STE TNNE BOISSONS GA*EUSES (2)	IAA	60946	63686
116	PROSID	SidérurQie	53557	63047
