Nom de l’entreprise	Activité	CA 2012	CA 2013
POULINA GROUP HOLDING	I.A.A/Ind/Services/Tic	1930381	2204291
GROUPE ELLOUMI	I.E.E	2003000	2200000
GROUPE SFBT	I.A.A	1753361	2060487
GROUPE MABROUK	Finance/Ind/I.A.A	1069129	2000000
GROUPE CHIMIQUE TUNISIEN	Chimie	2511000	1965500
GROUPE DELICE	I.A.A	1367402	1510390
GROUPE BAYAHI	Ind/I.A.A/Services	1100000	1200000
GROUPE TUNISAIR	Transport aérien	1165288	1030801
GROUPE TTS	Tourisme/Transp.aérien	524036	647950
GROUPE LOUKIL	Ind/Informatique/Services	665000	646000
GROUPE MOHSEN HACHICHA	Ind/I.A.A/Services	466000	496686
GROUPE SLAMA	I.A.A	507263	437936
GROUPE ONE TECH	I.E.E/TIC	380160	430000
GROUPE HAMROUNI	Industrie/Chimie	403000	425000
UFI GROUP	Finance/Ind/Tourisme	280393	307439
GROUPE MEUBLATEX ET EL MOURADI	Hôtellerie/Ind/Meuble	290859	303314
GROUPE ABDENNADHER	M.C.C.V/I.A.A/Commerce	293237	271083
GROUPE TRIKI	I.A.A	189000	219000
GROUPE ALLIANCE	Ind/Chimie/Tourisme	170000	215228
GROUPE HAMMAMI	M.C.C.V	152523	210655
GROUPE SOTUPA SANCELLA	Industrie/Commerce	182000	199000
GROUPE  CONDITIONNEMENT HUILES OLIVES	I.A.A	118509	186192
GROUPE KILANI	M.C.C.V/Cosmétique	167045	178728
GROUPE DEMCO	Textile	112762	174597
GROUPE NOURI CHAABANE	TP/Hôtellerie/Commerce	126175	155316
GROUPE ZOUARI	Industrie/Commerce	104600	134200
GROUPE CIMENTS ARTIFICIELS TUNISIENS	M.C.C.V	115000	127000
GROUPE STPA	Chimie/Electricité	103000	126000
GROUPE ALTEA PACKAGING	Emballage	107101	103170
GROUPE EL ATHIR	I.E.E		95125
GROUPE JUDY	Chimie	80000	91000
GROUPE BONNA TUNISIE	BTP	70000	84000
GROUPE CHAKIB NOUIRA	Textile	76500	70000
GROUPE IGL	TIC	71105	62216
GROUPE PERECO	Pétrole/Dérivés		61000
GROUPE EURO CYCLE	Industrie	48522	50538
GROUPE GHALI	Industrie	48546	47365
GROUPE SERVICOM	Télécommunications	32062	45079
GROUPE ATALANTA	Commerce	39111	35862
GROUPE ABOU WALID	Industrie	34050	28021
STE TNNE IND RAFFINAGE - STIR	Pétrole/Dérivés	3930000	4209000
STE TNNE ELECTRICITE GAZ- STEG	Energie	2669400	2968600
ENTREPRISE TNNE ACTI.PETROLIERES- ETAP	Pétrole/Dérivés	2524805	2288365
GROUPE CHIMIQUE TUNISIEN (4)	Chimie	1653000	1544000
STE NAT DISTRIBUTION PETROLE- AGIL	Pétrole/Dérivés	1355000	1524000
TUNISIE TELECOM	Télécommunications	1630000	1400000
PHARMACIE CENTRALE DE TUNISIE	Ind-Pharmaceutique	1015000	1106000
OOREDOO	Télécommunications	1071480	1062693
TOTAL TUNISIE	Pétrole/Dérivés	877239	871000
VIVO ENERGY TUNISIE (ANCIEN SHELL)	Pétrole/Dérivés	761969	860653
LEONI TUNISIA GROUP	I.E.E	650000	703000
SOCOGES (5)	I.A.A	638024	696131
