Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
1	POULINA GROUP HOLDING	I.A.A/Ind/Services/TIC	2204291	2239524	
2	GROUPE ELLOUMI	I.E.E	2200000	2200000	
3	GROUPE SFBT	I.A.A	2060487	2102728	
4	GROUPE MABROUK	Finance/Industrie/I.A.A	2000000	2000000	
5	GROUPE CHIMIQUE TUNISIEN	Chimie	1965500	1965400	
6	GROUPE DELICE	I.A.A	1510390	1562194	
7	GROUPE BAYAHI	Ind/I.A.A/Services	850000	1000000	
8	GROUPE LOUKIL	Ind/TIC/Services	646000	715000	
9	GROUPE TTS	Tourisme/Transport aérien	647950	690404	
10	GROUPE MOHSEN HACHICHA	Ind/I.A.A/Services	497031	450216	
11	GROUPE HAMROUNI	Industrie/Chimie	425000	446250	
12	GROUPE ONE TECH	I.E.E/TIC	430000	445756	
13	GROUPE SLAMA	I.A.A/Commerce	458726	395371	
14	GROUPE BENETTON	Commerce/Textile	338804	361757	
15	GROUPE MEUBLATEX ET EL MOURADI	Hôtellerie/Ind/Meuble	303314	331311	
16	UFI GROUP	Finance/Industrie/Tourisme	307439	317421	
17	GROUPE ABDENNADHER	M.C.C.V/I.A.A/Commerce	271083	270692	
18	GROUPE TRIKI	I.A.A	219000	243000	
19	GROUPE ALLIANCE	Ind/Chimie/Tourisme	215228	230774	
20	GROUPE SOTUPA SANCELLA	Industrie/Commerce	229500	223500	
21	GROUPE KILANI	M.C.C.V/Cosmétique	191757	222053	
22	GROUPE HAMMAMI	M.C.C.V	210655	201383	
23	GROUPE ZOUARI	Industrie/Commerce	134200	182250	
24	GROUPE NOURI CHAABANE	BTP/Hôtellerie/Commerce	152693	177054	
25	GROUPE DEMCO	Textile	174954	149084	
26	GROUPE VECTORYS	Transport international		145000	
27	GROUPE LES CIMENTS ARTIFICIELS TUNISIENS	M.C.C.V	126000	144000	
28	GROUPE DEMCO INTER	Textile	145844	119633	
29	GROUPE JUDY	Chimie	91000	102000	
30	GROUPE BONNA TUNISIE	BTP	70000	99910	
31	GROUPE ASSAD (chiffres HT)	Industrie	83500	95200	
32	GROUPE EL ATHIR	I.E.E	95125	80000	
33	GROUPE CHAKIB NOUIRA	Textile	70000	70000	
34	GROUPE SERVICOM	Télécommunications	45080	67413	
35	GROUPE EURO CYCLE	Industrie	50538	64132	
36	TAWASOL GROUP HOLDING	Ind/TIC/BTP	61000	61523	
37	GROUPE IGL	TIC	62216	58144	
38	GROUPE GHALI	Industrie	39466	43570	
39	GROUPE ABOU WALID	Industrie	28884	34557	
40	GROUPE DEMCO KNITWEAR	Textile	29110	29451	
""					
""					
Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014
1	STE TNNE IND RAFFINAGE- STIR	Pétrole/Dérivés	4209000	4496000
2	STE TNNE ELECTRICITE GAZ- STEG	Energie	2968600	3736000
3	ENTREPRISE TNNE ACTIVITE PETROLIERES- ETAP	Pétrole/Dérivés	2288365	2152719
4	STE NAT DISTRIBUTION PETROLE- AGIL	Pétrole/Dérivés	1672515	1817180
5	GROUPE CHIMIQUE TUNISIEN (4)	Chimie	1544000	1544000
6	TUNISIE TELECOM	Télécommunications	1400000	1352000
7	OOREDOO	Télécommunications	1317000	1258000
8	PHARMACIE CENTRALE DE TUNISIE	Ind/Pharmaceutique	1106000	1150000
9	VIVO ENERGY TUNISIE	Pétrole/Dérivés	1031392	1091474
10	TUNISAIR	Transport aérien	1147245	1084591
11	TOTAL TUNISIE	Pétrole/Dérivés	871000	897892
12	MAGASIN GENERAL	Commerce/Distribution	577992	789887
13	LEONI TUNISIA GROUP	I.E.E	703000	751000
14	STE FABRICATION BOISSONS TUNISIE - SFBT (2)	I.A.A	695038	745966
15	CARREFOUR	Commerce/Distribution	643000	730000
16	SOCOGES (5)	I.A.A	696131	716373
17	REGIE NATIONALE TABACS ALLUMETTES - RNTA	I.A.A	578982	651688
18	NOUVELAIR (7)	Transport aérien	570450	593268
19	MONOPRIX (3)	Commerce/Distribution	479969	531055
20	CIE PHOSPHATES GAFSA- CPG  (4)	Mines	421500	515400
21	STE EMBALL.ALUMINIUM BOISSONS GAZEUSES (2)	I.A.A	443429	468111
22	CARTHAGE POWER COMPANY	Energie	364000	462000
23	ORANGE TUNISIE	Télécommunications	374900	431400
24	STE NAT EXPLOITATION DISTRIBUTION EAUX - SONEDE	Expl/Dist.Eaux	374580	425593
25	CIE TNNE NAVIGATION - CTN	Transport maritime	347733	361754
26	OFFICE NATIONAL HUILE- ONH	I.A.A	393800	350000
27	CLC DELICE (5)	I.A.A	332365	330317
28	OFFICE AVIATION CIVILE AEROPORTS- OACA	Transport aérien	294000	299000
29	BENETTON INDUSTRIELLE TUNISIA	Textile	261667	297160
30	STAR	Assurances	259961	288208
31	STE ENNAKL	Commerce/Services/Auto	278547	281568
32	LA POSTE TUNISIENNE	Services	262043	279296
33	STIAL DELICE DANONE (5)	I.A.A	313340	276253
34	LES CIMENTS ENFIDHA	M.C.C.V	211000	245000
35	CENTRALE LAITIERE  MAHDIA -VITALAIT	I.A.A	211584	236947
36	STAFIM PEUGEOT	Commerce/Services/Auto	222172	226509
37	STE  ARTICLE HYGIENE-LILAS	Industrie/Santé	205361	213603
38	TUNISIE CABLES (9)	I.E.E	209637	212032
39	AURES-CITROEN (6)	Commerce/Auto	196000	211000
