firm_names,data_year,word,count
STE TNNE IND RAFFINAGE- STIR,2016,V1,1.0
STE TNNE IND RAFFINAGE - STIR,2015,V1,0.9824561403508771
STE TNNE IND RAFFINAGE - STIR,2014,V1,0.9824561403508771
TUNISAIR,2016,V10,1.0
TUNISAVIA,2015,V10,0.8235294117647058
SAIDA FOOD TRADING (3),2016,V100,1.0
SAIDA FOOD TRADING (3),2015,V100,1.0
MANUFACTURE TNNE VERNIS- MTV (8),2015,V1000,1.0
MANUFACTURE TNNE VERNIS- MTV   (8),2016,V1000,0.9696969696969697
MANUFACTURE TNNE VERNIS - MTV (10),2014,V1000,0.9393939393939394
SPTM CAP MAHDIA (12),2015,V1001,1.0
SPTM CAP MAHDIA  (11),2016,V1001,0.926829268292683
SPTM CAI> MAHDIA (12),2014,V1001,0.926829268292683
STE TNNE TRICOTAGE ET CONFECTION,2015,V1002,1.0
STE TNNE TRICOTAGE FT CONFECTION,2014,V1002,0.96875
UNION FINANCIERE (11),2015,V1003,1.0
UNION FINANCIERE  (12),2016,V1003,0.9302325581395349
UNION EINANCIERE (13),2014,V1003,0.9047619047619048
SOCIETE IMMOB NOTRE DAME (2),2015,V1004,1.0
SOCIETEIMMOB NOTRE DAME (3),2014,V1004,0.9454545454545454
STE MISE VALEUR DEV.AGRICOLE «RAOUDHA» (2),2015,V1005,1.0
STE MISE VALEUR DEV.AGRICOLE «RAOUDHA»  (2),2016,V1005,0.9882352941176471
"STE MISE VAEEER DEV.AGIUCOLE ""RAOEDHA"" (3)",2014,V1005,0.8571428571428572
GHARIANI AUTO,2016,V1006,1.0
GHARIANI AUTO,2015,V1006,1.0
GHARIANI AUTO,2014,V1006,1.0
SOLUTIONS COMPOSITES,2016,V1007,1.0
SOLUTIONS COMPOSITES,2015,V1007,1.0
ORASCOM TELECOM TUNISIE,2014,V1007,0.7441860465116279
B&B TRICOT,2015,V1008,1.0
CRIT,2016,V1008,0.5714285714285714
POLY PLAST,2016,V1009,1.0
POLY PLAST,2015,V1009,1.0
POLYPLAST,2014,V1009,0.9473684210526316
STE MEUNIERE TUNISIENNE- SMT  (8),2016,V101,1.0
STE MEUNIERE TUNISIENNE- SMT (8),2015,V101,0.9846153846153847
STE MEUNIERE TUNISIENNE (10),2014,V101,0.8524590163934427
SIED (19),2015,V1010,1.0
SANIMED (13),2016,V1010,0.7619047619047619
GEI (9),2014,V1010,0.75
CONSORTIUM IMMOBILIERE MAGHREBINE,2016,V1011,1.0
CONSORTIUM IMMOBILIERE MAGHREBINE,2015,V1011,1.0
CONSORTIUM IMMOBILIERE MAGHREBINE,2014,V1011,1.0
DOMOTECH SA,2016,V1012,1.0
DOMOTECH SA,2015,V1012,1.0
UNITED CHIMICAL PARTNERS- UCP (14),2015,V1013,1.0
UNITED CHIMICAL PARTNERS - UCP  (15),2016,V1013,0.9428571428571428
SOCIETE WIDED IMPORT EXPORT- WIDEX (8),2015,V1014,1.0
CIE DIST ELECTROMENAGER- CDCD (WHIRLPOOL)  (15),2016,V1014,0.7294117647058824
FRAMEL,2016,V1015,1.0
FRAMEL,2015,V1015,1.0
"FRAME!,",2014,V1015,0.7692307692307692
STE TOURISTIQUE MOURADI TOZEUR (12),2015,V1016,1.0
STE TOURISTIQUE MOURADI TOZEUR  (11),2016,V1016,0.9577464788732395
SLAMA FRUITS ET LEGUMES,2015,V1017,1.0
ARI ES RENAULT TUNISIE,2014,V1017,0.7555555555555555
BUANDERIE CENTRALE EL MOURADI (12),2015,V1018,1.0
BUANDERIE CENTRALE EL MOURADI  (11),2016,V1018,0.9565217391304348
RUANDERIE CENTRALE EL MOUIIADI (12),2014,V1018,0.9565217391304348
ENFAVET INTERNATONAL,2016,V1019,1.0
ENFAVET INETRNATONAL,2015,V1019,1.0
ENFAVETINTERNATONAE,2014,V1019,0.9230769230769231
STE ITALO-TNNE EXPLOITATION PETROLIERE- SITEP,2016,V102,1.0
ITALO-TNNE EXPLOITATION PETROLIERE - SITEP,2015,V102,0.9655172413793104
ITALO-TNNE EXPLOITATION PETROLIERE - SITEP,2014,V102,0.9655172413793104
STE TNNE IND RAFFINAGE - STIR,2015,V1020,1.0
STE TNNE IND RAFFINAGE - STIR,2014,V1020,1.0
STE TNNE IND RAFFINAGE- STIR,2016,V1020,0.9824561403508771
STE TNNE ELECTR GAZ -STEG,2014,V1021,1.0
STE TNNE ELECTRICITE GAZ- STEG,2016,V1021,0.9090909090909091
STE TNNE ELECTRICITE GAZ- STEG,2015,V1021,0.9090909090909091
ENTREPRISE ACT. PETROLIERES - ETAP,2014,V1022,1.0
ENTREPRISE TNNE ACTI.PETROLIERES- ETAP,2015,V1022,0.9166666666666666
ENTREPRISE TNNE ACTIVITE PETROLIERES- ETAP,2016,V1022,0.868421052631579
GROUPE CHIMIQUE TUNISIEN (1),2014,V1023,1.0
GROUPE CHIMIQUE TUNISIEN (4),2016,V1023,0.9642857142857143
GROUPE CHIMIQUE TUNISIEN (4),2015,V1023,0.9642857142857143
TUNISIE TELECOM,2016,V1024,1.0
TUNISIE TELECOM,2015,V1024,1.0
TUNISIE TELECOM,2014,V1024,1.0
STE NAT DISTRIBUTION PETROLE - AGIL,2014,V1025,1.0
STE NAT DISTRIBUTION PETROLE- AGIL,2016,V1025,0.9855072463768116
STE NAT DISTRIBUTION PETROLE- AGIL,2015,V1025,0.9855072463768116
ORASCOM TELECOM TUNISIE,2014,V1026,1.0
SOCIETE COMMERCIALE TUNISIENNE,2015,V1026,0.8301886792452831
STE COMMERCIALE TUNISIENNE- SOCOTU,2016,V1026,0.8070175438596492
REGIE NAT.TABACS ALLUMETTES,2014,V1027,1.0
REGIE NATIONALE TABACS ALLUMETTES - RNTA,2016,V1027,0.7761194029850746
REGIE NATIONALE TABACS ALLUMETTES - RNTA,2015,V1027,0.7761194029850746
PHARMACIE CENTRALE DE TUNISIE,2016,V1028,1.0
PHARMACIE CENTRALE DE TUNISIE,2015,V1028,1.0
PHARMACIE CENTRALE DE TUNISIE,2014,V1028,1.0
TOTAL TUNISIE,2016,V1029,1.0
TOTAL TUNISIE,2015,V1029,1.0
TOTAL TUNISIE,2014,V1029,1.0
CARTE,2016,V103,1.0
CARTE,2015,V103,1.0
CARTE,2014,V103,1.0
CIE PHOSPHATES GAFSA(l),2014,V1030,1.0
CIE PHOSPHATES GAFSA (4),2015,V1030,0.9361702127659575
CIE PHOSPHATES GAFSA- CPG  (4),2016,V1030,0.8301886792452831
VIVO ENERGY TUNISIE (ANCIEN SHELL),2015,V1031,1.0
VIVO ENERGY TUNISIE (ANCIEN SHELL),2014,V1031,1.0
AGENCE TUNISIENNE SOLIDARITE,2016,V1031,0.8064516129032258
LEONI TUNISIA GROUP,2016,V1032,1.0
LEONI TUNISIA GROUP,2015,V1032,1.0
LEONI TUNISIA GROUP,2014,V1032,1.0
SOCOGES(4),2014,V1033,1.0
SOCOGES (5),2016,V1033,0.8571428571428572
SOCOGES (5),2015,V1033,0.8571428571428572
CARREFOUR,2016,V1034,1.0
CARREFOUR,2015,V1034,1.0
CARREFOUR,2014,V1034,1.0
STE FABRICATION BOISSONS T UNISIE,2014,V1035,1.0
STE FABRICATION BOISSONS TUNISIE- SFBT (2),2015,V1035,0.88
MAGASIN GENERAL,2016,V1036,1.0
MAGASIN GENERAL,2015,V1036,1.0
MAGASIN GENERAL,2014,V1036,1.0
NOUVELAIR (8),2014,V1037,1.0
NOUVELAIR (7),2016,V1037,0.9230769230769231
