firm_names,data_year,match_name,,word,count
STE TNNE IND RAFFINAGE- STIR,2016,STE TNNE IND RAFFINAGE- STIR,,V1,1
STE TNNE IND RAFFINAGE - STIR,2015,STE TNNE IND RAFFINAGE- STIR,,V1,0.98245614
STE TNNE IND RAFFINAGE - STIR,2014,STE TNNE IND RAFFINAGE- STIR,,V1,0.98245614
TUNISAIR,2016,TUNISAIR,,V10,1
TUNISAVIA,2015,,,V10,0.823529412
SAIDA FOOD TRADING (3),2016,SAIDA FOOD TRADING (3),,V100,1
SAIDA FOOD TRADING (3),2015,SAIDA FOOD TRADING (3),,V100,1
MANUFACTURE TNNE VERNIS- MTV (8),2015,MANUFACTURE TNNE VERNIS- MTV   (8),,V1000,1
MANUFACTURE TNNE VERNIS- MTV   (8),2016,MANUFACTURE TNNE VERNIS- MTV   (8),,V1000,0.96969697
MANUFACTURE TNNE VERNIS - MTV (10),2014,MANUFACTURE TNNE VERNIS- MTV   (8),,V1000,0.939393939
SPTM CAP MAHDIA (12),2015,SPTM CAP MAHDIA  (11),,V1001,1
SPTM CAP MAHDIA  (11),2016,SPTM CAP MAHDIA  (11),,V1001,0.926829268
SPTM CAI> MAHDIA (12),2014,SPTM CAP MAHDIA  (11),,V1001,0.926829268
STE TNNE TRICOTAGE ET CONFECTION,2015,STE TNNE TRICOTAGE ET CONFECTION,,V1002,1
STE TNNE TRICOTAGE FT CONFECTION,2014,STE TNNE TRICOTAGE ET CONFECTION,,V1002,0.96875
UNION FINANCIERE (11),2015,UNION FINANCIERE  (12),,V1003,1
UNION FINANCIERE  (12),2016,UNION FINANCIERE  (12),,V1003,0.930232558
UNION EINANCIERE (13),2014,UNION FINANCIERE  (12),,V1003,0.904761905
SOCIETE IMMOB NOTRE DAME (2),2015,SOCIETEIMMOB NOTRE DAME (3),,V1004,1
SOCIETEIMMOB NOTRE DAME (3),2014,SOCIETEIMMOB NOTRE DAME (3),,V1004,0.945454545
STE MISE VALEUR DEV.AGRICOLE «RAOUDHA» (2),2015,STE MISE VALEUR DEV.AGRICOLE «RAOUDHA»  (2),,V1005,1
STE MISE VALEUR DEV.AGRICOLE «RAOUDHA»  (2),2016,STE MISE VALEUR DEV.AGRICOLE «RAOUDHA»  (2),,V1005,0.988235294
"STE MISE VAEEER DEV.AGIUCOLE ""RAOEDHA"" (3)",2014,STE MISE VALEUR DEV.AGRICOLE «RAOUDHA»  (2),,V1005,0.857142857
GHARIANI AUTO,2016,GHARIANI AUTO,,V1006,1
GHARIANI AUTO,2015,GHARIANI AUTO,,V1006,1
GHARIANI AUTO,2014,GHARIANI AUTO,,V1006,1
SOLUTIONS COMPOSITES,2016,SOLUTIONS COMPOSITES,,V1007,1
SOLUTIONS COMPOSITES,2015,SOLUTIONS COMPOSITES,,V1007,1
ORASCOM TELECOM TUNISIE,2014,ORASCOM TELECOM TUNISIE,,V1007,0.744186047
B&B TRICOT,2015,B&B TRICOT,,V1008,1
CRIT,2016,,,V1008,0.571428571
POLY PLAST,2016,POLY PLAST,,V1009,1
POLY PLAST,2015,POLY PLAST,,V1009,1
POLYPLAST,2014,POLY PLAST,,V1009,0.947368421
STE MEUNIERE TUNISIENNE- SMT  (8),2016,STE MEUNIERE TUNISIENNE- SMT  (8),,V101,1
STE MEUNIERE TUNISIENNE- SMT (8),2015,STE MEUNIERE TUNISIENNE- SMT  (8),,V101,0.984615385
STE MEUNIERE TUNISIENNE (10),2014,STE MEUNIERE TUNISIENNE- SMT  (8),,V101,0.852459016
SIED (19),2015,SIED (19),,V1010,1
SANIMED (13),2016,,,V1010,0.761904762
GEI (9),2014,,,V1010,0.75
CONSORTIUM IMMOBILIERE MAGHREBINE,2016,CONSORTIUM IMMOBILIERE MAGHREBINE,,V1011,1
CONSORTIUM IMMOBILIERE MAGHREBINE,2015,CONSORTIUM IMMOBILIERE MAGHREBINE,,V1011,1
CONSORTIUM IMMOBILIERE MAGHREBINE,2014,CONSORTIUM IMMOBILIERE MAGHREBINE,,V1011,1
DOMOTECH SA,2016,DOMOTECH SA,,V1012,1
DOMOTECH SA,2015,DOMOTECH SA,,V1012,1
UNITED CHIMICAL PARTNERS- UCP (14),2015,UNITED CHIMICAL PARTNERS - UCP  (15),,V1013,1
UNITED CHIMICAL PARTNERS - UCP  (15),2016,UNITED CHIMICAL PARTNERS - UCP  (15),,V1013,0.942857143
SOCIETE WIDED IMPORT EXPORT- WIDEX (8),2015,SOCIETE WIDED IMPORT EXPORT- WIDEX (8),,V1014,1
CIE DIST ELECTROMENAGER- CDCD (WHIRLPOOL)  (15),2016,,,V1014,0.729411765
FRAMEL,2016,FRAMEL,,V1015,1
FRAMEL,2015,FRAMEL,,V1015,1
"FRAME!,",2014,FRAMEL,,V1015,0.769230769
STE TOURISTIQUE MOURADI TOZEUR (12),2015,STE TOURISTIQUE MOURADI TOZEUR (12),,V1016,1
STE TOURISTIQUE MOURADI TOZEUR  (11),2016,STE TOURISTIQUE MOURADI TOZEUR (12),,V1016,0.957746479
SLAMA FRUITS ET LEGUMES,2015,SLAMA FRUITS ET LEGUMES,,V1017,1
